station,date,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08,WT10
USW00093184,2022-05-20,33.0,,,10.0,,,,206.0,156.0,,190.0,190.0,81.0,98.0,1.0,,,,1.0,
USW00093184,2022-05-21,24.0,,,0.0,,,,200.0,172.0,,190.0,190.0,63.0,81.0,,,,,,
USW00093184,2022-05-22,22.0,,,0.0,,,,222.0,161.0,,220.0,230.0,63.0,85.0,,,,,,
USW00093184,2022-05-23,27.0,,,0.0,,,,206.0,156.0,,200.0,200.0,67.0,85.0,,,,,,
USW00093184,2022-05-24,24.0,,,0.0,,,,217.0,161.0,,190.0,210.0,63.0,81.0,,,,,,
USW00093184,2022-05-25,31.0,,,0.0,,,,217.0,161.0,,210.0,200.0,72.0,98.0,,,,,,
USW00093184,2022-05-26,31.0,,,0.0,,,,222.0,161.0,,200.0,180.0,76.0,107.0,,,,,,
USW00093184,2022-05-27,24.0,,,0.0,,,,228.0,172.0,,200.0,200.0,58.0,76.0,,,,,,
USW00093184,2022-05-28,23.0,,,0.0,,,,217.0,172.0,,220.0,190.0,63.0,85.0,,,,,,
USW00093184,2022-05-29,38.0,,,0.0,,,,233.0,172.0,,200.0,210.0,76.0,98.0,,,,,,
USW00093184,2022-05-30,26.0,,,0.0,,,,233.0,167.0,,180.0,200.0,67.0,89.0,,,,,,
USW00093184,2022-05-31,28.0,,,0.0,,,,239.0,161.0,,190.0,180.0,63.0,89.0,,,,,,
USW00093184,2022-06-01,31.0,,,0.0,,,,239.0,167.0,,200.0,190.0,76.0,89.0,,,,,1.0,
USW00093184,2022-06-02,33.0,,,0.0,,,,222.0,161.0,,190.0,220.0,72.0,98.0,,,,,,
USW00093184,2022-06-03,24.0,,,0.0,,,,233.0,167.0,,200.0,200.0,67.0,89.0,,,,,,
USW00093184,2022-06-04,25.0,,,0.0,,,,233.0,183.0,,200.0,200.0,58.0,76.0,,,,,,
USW00093184,2022-06-05,29.0,,,0.0,,,,244.0,183.0,,210.0,220.0,58.0,81.0,,,,,,
USW00093184,2022-06-06,32.0,,,0.0,,,,244.0,183.0,,210.0,190.0,72.0,85.0,,,,,,
